age,qx
0–1,0.005132
1–2,0.000394
2–3,0.000232
3–4,0.000187
4–5,0.000142
5–6,0.000133
6–7,0.000119
7–8,0.000110
8–9,0.000103
9–10,0.000098
10–11,0.000098
11–12,0.000104
12–13,0.000123
13–14,0.000155
14–15,0.000196
15–16,0.000241
16–17,0.000286
17–18,0.000328
18–19,0.000366
19–20,0.000402
20–21,0.000443
21–22,0.000486
22–23,0.000524
23–24,0.000555
24–25,0.000583
25–26,0.000609
26–27,0.000640
27–28,0.000685
28–29,0.000748
29–30,0.000821
30–31,0.000898
31–32,0.000971
32–33,0.001037
33–34,0.001094
34–35,0.001149
35–36,0.001206
36–37,0.001270
37–38,0.001348
38–39,0.001441
39–40,0.001544
40–41,0.001660
41–42,0.001778
42–43,0.001883
43–44,0.001973
44–45,0.002057
45–46,0.002153
46–47,0.002277
47–48,0.002433
48–49,0.002621
49–50,0.002832
50–51,0.003062
51–52,0.003309
52–53,0.003572
53–54,0.003858
54–55,0.004179
55–56,0.004519
56–57,0.004897
57–58,0.005348
58–59,0.005873
59–60,0.006443
60–61,0.007034
61–62,0.007625
62–63,0.008216
63–64,0.008816
64–65,0.009448
65–66,0.010135
66–67,0.010961
67–68,0.011782
68–69,0.012696
69–70,0.013728
70–71,0.014755
71–72,0.016066
72–73,0.017524
73–74,0.019299
74–75,0.021326
75–76,0.023712
76–77,0.025914
77–78,0.029447
78–79,0.032420
79–80,0.036450
80–81,0.040493
81–82,0.045557
82–83,0.051025
83–84,0.056904
84–85,0.064118
85–86,0.070931
86–87,0.080253
87–88,0.090614
88–89,0.102080
89–90,0.114707
90–91,0.128541
91–92,0.143609
92–93,0.159919
93–94,0.177452
94–95,0.196164
95–96,0.215977
96–97,0.236785
97–98,0.258448
98–99,0.280798
99–100,0.303644
100 and older,1.000000
